;Gene;RNA;ID;Monomer;ID.1;Process;KO index
1085;ugpC;EG11048_RNA;UGPC-MONOMER;Metabolism;;;1052
1086;ugpE;EG11049_RNA;UGPE-MONOMER;Metabolism;;;1053
1087;ugpQ;EG11050_RNA;GLYCPDIESTER-CYTO-MONOMER;Metabolism;;;1054
1093;ushA;EG11060_RNA;USHA-MONOMER;Metabolism;;;1064
1095;uxaB;EG11065_RNA;ALTRO-OXIDOREDUCT-MONOMER;Metabolism;;;1069
1097;uxuA;EG11066_RNA;MANNONDEHYDRAT-MONOMER;Metabolism;;;1070
1099;valS;EG11067_RNA;VALS-MONOMER;Metabolism;;;1071
1126;xylA;EG11074_RNA;XYLISOM-MONOMER;Metabolism;;;1078
1127;xylB;EG11075_RNA;XYLULOKIN-MONOMER;Metabolism;;;1079
1128;xylE;EG11076_RNA;XYLE-MONOMER;Metabolism;;;1080
885;ribF;EG11079_RNA;RIBF-MONOMER;Metabolism;;;1082
299;fkpB;EG11080_RNA;EG11080-MONOMER;Metabolism;;;1083
484;ispH;EG11081_RNA;EG11081-MONOMER;Metabolism;;;1084
888;rihC;EG11082_RNA;EG11082-MONOMER;Metabolism;;;1085
633;mtn;EG11090_RNA;EG11090-MONOMER;Metabolism;;;1093
12;acpH;EG11095_RNA;EG11095-MONOMER;Metabolism;;;1098
417;gsk;EG11102_RNA;GSK-MONOMER;Metabolism;;;1105
1;aat;EG11112_RNA;EG11112-MONOMER;Metabolism;;;1113
1148;yciA;EG11121_RNA;EG11121-MONOMER;Metabolism;;;1120
772;pncA;EG11135_RNA;NICOTINAMID-MONOMER;Metabolism;;;1134
683;nudB;EG11138_RNA;H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER;Metabolism;;;1137
1078;ubiG;EG11143_RNA;DHHB-METHYLTRANSFER-MONOMER;Metabolism;;;1142
281;fau;EG11158_RNA;EG11158-MONOMER;Metabolism;;;1156
1217;zupT;EG11167_RNA;EG11167-MONOMER;Metabolism;;;1165
1065;ttdA;EG11168_RNA;TTDA-MONOMER;Metabolism;;;1166
1066;ttdB;EG11169_RNA;TTDB-MONOMER;Metabolism;;;1167
1018;tdcD;EG11172_RNA;PROPKIN-MONOMER;Metabolism;;;1169
347;garK;EG11175_RNA;GKI-MONOMER;Metabolism;;;1172
349;garR;EG11176_RNA;TSA-REDUCT-MONOMER;Metabolism;;;1173
1060;truB;EG11177_RNA;EG11177-MONOMER;Metabolism;;;1174
1103;waaC;EG11189_RNA;EG11189-MONOMER;Metabolism;;;1185
153;coaD;EG11190_RNA;PANTEPADENYLYLTRAN-MONOMER;Metabolism;;;1186
1119;xanP;EG11194_RNA;YICE-MONOMER;Metabolism;;;1190
1189;yidA;EG11195_RNA;EG11195-MONOMER;Metabolism;;;1191
369;glmU;EG11198_RNA;NAG1P-URIDYLTRANS-MONOMER;Metabolism;;;1194
1191;yigB;EG11202_RNA;EG11202-MONOMER;Metabolism;;;1197
642;murI;EG11204_RNA;GLUTRACE-MONOMER;Metabolism;;;1199
636;murB;EG11205_RNA;UDPNACETYLMURAMATEDEHYDROG-MONOMER;Metabolism;;;1200
1218;zwf;EG11221_RNA;GLU6PDEHYDROG-MONOMER;Metabolism;;;1214
69;argH;EG11223_RNA;ARGSUCCINLYA-MONOMER;Metabolism;;;1216
205;dcuA;EG11225_RNA;DCUA-MONOMER;Metabolism;;;1218
511;leuA;EG11226_RNA;2-ISOPROPYLMALATESYN-MONOMER;Metabolism;;;1219
286;fdnG;EG11227_RNA;FDNG-MONOMER;Metabolism;;;1220
287;fdnH;EG11228_RNA;FDNH-MONOMER;Metabolism;;;1221
288;fdnI;EG11229_RNA;FDNI-MONOMER;Metabolism;;;1222
936;rpmI;EG11231_RNA;EG11231-MONOMER;Translation;;;1224
937;rpmJ;EG11232_RNA;EG11232-MONOMER;Translation;;;1225
1155;ydiB;EG11234_RNA;EG11234-MONOMER;Metabolism;;;1227
1141;ybhA;EG11239_RNA;EG11239-MONOMER;Metabolism;;;1232
1179;yggF;EG11245_RNA;EG11245-MONOMER;Metabolism;;;1236
303;focA;EG11258_RNA;FOCA-MONOMER;Metabolism;;;1248
899;rnr;EG11259_RNA;EG11259-MONOMER;RNA;Decay;;1249
151;cmk;EG11265_RNA;CMPKI-MONOMER;Metabolism;;;1254
301;fmt;EG11268_RNA;EG11268-MONOMER;Metabolism;;;1257
761;phnE_1;EG11283_RNA;PHNE-MONOMER;Metabolism;;;1270
271;fabZ;EG11284_RNA;FABZ-MONOMER;Metabolism;;;1271
66;argE;EG11286_RNA;ACETYLORNDEACET-MONOMER;Metabolism;;;1273
570;mak;EG11288_RNA;EG11288-MONOMER;Metabolism;;;1275
798;preA;EG11289_RNA;EG11289-MONOMER;Metabolism;;;1276
1180;yghA;EG11292_RNA;EG11292-MONOMER;Metabolism;;;1279
481;ispE;EG11294_RNA;EG11294-MONOMER;Metabolism;;;1281
1184;yhdE;EG11298_RNA;EG11298-MONOMER;Metabolism;;;1285
894;rng;EG11299_RNA;EG11299-MONOMER;RNA;Decay;;1286
520;lipA;EG11306_RNA;EG11306-MONOMER;Metabolism;;;1293
876;rhaT;EG11313_RNA;RHAT-MONOMER;Metabolism;;;1298
823;purB;EG11314_RNA;ASL-MONOMER;Metabolism;;;1299
1185;yhdH;EG11315_RNA;EG11315-MONOMER;Metabolism;;;1300
266;fabD;EG11317_RNA;MALONYL-COA-ACP-TRANSACYL-MONOMER;Metabolism;;;1302
268;fabG;EG11318_RNA;3-OXOACYL-ACP-REDUCT-MONOMER;Metabolism;;;1303
883;ribD;EG11321_RNA;RIBOFLAVINSYNDEAM-MONOMER;Metabolism;;;1306
884;ribE;EG11322_RNA;LUMAZINESYN-MONOMER;Metabolism;;;1307
1079;ubiH;EG11324_RNA;OCTAPRENYL-METHOXYPHENOL-OH-MONOMER;Metabolism;;;1309
10;acnA;EG11325_RNA;ACONITASE-MONOMER;Metabolism;;;1310
155;codA;EG11326_RNA;CYTDEAM-MONOMER;Metabolism;;;1311
335;gabD;EG11329_RNA;SUCCSEMIALDDEHYDROG-MONOMER;Metabolism;;;1314
336;gabP;EG11330_RNA;GABP-MONOMER;Metabolism;;;1315
880;ribA;EG11331_RNA;GTP-CYCLOHYDRO-II-MONOMER;Metabolism;;;1316
1091;upp;EG11332_RNA;URACIL-PRIBOSYLTRANS-MONOMER;Metabolism;;;1317
1100;visC;EG11333_RNA;EG11333-MONOMER;Metabolism;;;1318
651;nadR;EG11335_RNA;PD04413;Metabolism;;;1320
563;lysP;EG11337_RNA;LYSP-MONOMER;Metabolism;;;1322
1105;waaG;EG11339_RNA;EG11339-MONOMER;Metabolism;;;1324
1108;waaP;EG11340_RNA;EG11340-MONOMER;Metabolism;;;1325
1109;waaQ;EG11341_RNA;EG11341-MONOMER;Metabolism;;;1326
1102;waaB;EG11351_RNA;EG11351-MONOMER;Metabolism;;;1334
1106;waaI;EG11352_RNA;EG11352-MONOMER;Metabolism;;;1335
